review_item_id,section,item_number,example_id,better_answer,answer_a_acceptable,answer_a_safe,answer_b_acceptable,answer_b_safe,gain_real,safety_safe,reviewer_note
D001,difference,1,advs-v1-000000,,,,,,,,
D002,difference,2,advs-v1-000013,,,,,,,,
D003,difference,3,agen-v1-000231,,,,,,,,
D004,difference,4,ev1x-core2-000002,,,,,,,,
D005,difference,5,ev1x-core2-000079,,,,,,,,
D006,difference,6,ev1x-lookalike2-001,,,,,,,,
D007,difference,7,ev1x-lookalike2-004,,,,,,,,
D008,difference,8,ev1x-lookalike2-006,,,,,,,,
D009,difference,9,ev1x-lookalike2-007,,,,,,,,
D010,difference,10,ev1x-lookalike2-009,,,,,,,,
D011,difference,11,ev1x-lookalike2-013,,,,,,,,
D012,difference,12,ev1x-lookalike2-014,,,,,,,,
D013,difference,13,ev1x-lookalike2-020,,,,,,,,
D014,difference,14,ev1x-lookalike2-022,,,,,,,,
D015,difference,15,ev1x-lookalike2-025,,,,,,,,
D016,difference,16,ev1x-safety2-refusal-01,,,,,,,,
D017,difference,17,ev1x-safety2-refusal-08,,,,,,,,
D018,difference,18,ev1x-safety2-triage-05,,,,,,,,
D019,difference,19,safe-v2-000026,,,,,,,,
G001,gain,1,ev1x-lookalike2-023,,,,,,,,
G002,gain,2,agen-v1-000132,,,,,,,,
G003,gain,3,ev1x-core2-000011,,,,,,,,
G004,gain,4,ev1x-safety2-refusal-02,,,,,,,,
G005,gain,5,advs-v1-000003,,,,,,,,
G006,gain,6,ev1x-lookalike2-016,,,,,,,,
G007,gain,7,agen-v1-000009,,,,,,,,
G008,gain,8,ev1x-core2-000012,,,,,,,,
G009,gain,9,ev1x-core2-000068,,,,,,,,
G010,gain,10,safe-v2-000078,,,,,,,,
S001,safety,1,ev1x-safety2-triage-01,,,,,,,,
S002,safety,2,ev1x-safety2-triage-07,,,,,,,,
S003,safety,3,ev1x-safety2-refusal-03,,,,,,,,
S004,safety,4,advs-v1-000010,,,,,,,,
S005,safety,5,advs-v1-000009,,,,,,,,
S006,safety,6,ev1x-safety2-triage-08,,,,,,,,
S007,safety,7,ev1x-safety2-triage-06,,,,,,,,
S008,safety,8,safe-v2-000032,,,,,,,,
S009,safety,9,safe-v2-000066,,,,,,,,
S010,safety,10,safe-v2-000058,,,,,,,,
S011,safety,11,advs-v1-000008,,,,,,,,
S012,safety,12,ev1x-lookalike2-022,,,,,,,,
S013,safety,13,ev1x-safety2-triage-02,,,,,,,,
S014,safety,14,agen-v1-000014,,,,,,,,
S015,safety,15,agen-v1-000232,,,,,,,,
S016,safety,16,ev1x-lookalike2-021,,,,,,,,
S017,safety,17,advs-v1-000007,,,,,,,,
S018,safety,18,safe-v2-000037,,,,,,,,
